"","NA.","NA..1","NA..2","NA..3","Tipo","NA..4","Absolutos","Relativos"
"1","Aguascalientes",,325157,,,,,
"2",,,,,"Robo parcial de vehículo",,50421,15.5066629351359
"3",,,,,"Robo en calle",,43797,13.4694931986702
"4",,,,,"Amenazas verbales",,36420,11.2007430256768
"5",,,,,"Extorsión",,33115,10.1843109636268
"6",,,,,"Robo en casa",,31117,9.56983857029066
"7",,,,,"Total",,194870,59.9310486934004
"8",,,,,,,,
"9","Baja California",,802757,,,,,
"10",,,,,"Extorsión",,118510,14.762873447382
"11",,,,,"Robo parcial de vehículo",,108363,13.4988545724298
"12",,,,,"Fraude bancario",,103630,12.9092614577014
"13",,,,,"Robo en calle",,89633,11.165645394559
"14",,,,,"Robo en casa",,67499,8.40839755990916
"15",,,,,"Total",,487635,60.7450324319813
"16",,,,,,,,
"17","Baja California Sur",,145112,,,,,
"18",,,,,"Robo parcial de vehículo",,20759,14.305501957109
"19",,,,,"Extorsión",,20197,13.9182148960803
"20",,,,,"Amenazas verbales",,18367,12.6571200176415
"21",,,,,"Fraude bancario",,17282,11.9094216880754
"22",,,,,"Robo en casa",,15753,10.8557527978389
"23",,,,,"Total",,92358,63.6460113567451
"24",,,,,,,,
"25","Campeche",,174045,,,,,
"26",,,,,"Fraude bancario",,22321,12.8248441495016
"27",,,,,"Fraude al consumidor",,20808,11.9555287425666
"28",,,,,"Amenazas verbales",,20683,11.8837082363757
"29",,,,,"Robo en calle",,19057,10.9494670918441
"30",,,,,"Robo en casa",,18288,10.5076273377575
"31",,,,,"Total",,101157,58.1211755580453
"32",,,,,,,,
"33","Coahuila",,657010,,,,,
"34",,,,,"Extorsión",,89991,13.6970517952543
"35",,,,,"Robo en casa",,75351,11.4687752089009
"36",,,,,"Amenazas verbales",,74509,11.3406188642486
"37",,,,,"Vandalismo",,65266,9.93379096208581
"38",,,,,"Robo parcial de vehículo",,59867,9.11203786852559
"39",,,,,"Total",,364984,55.5522746990152
"40",,,,,,,,
"41","Colima",,153576,,,,,
"42",,,,,"Extorsión",,31538,20.5357607959577
